State	Count
'0000000000000111111111'	152762
'0111001111100000001101'	150672
'0111011111100000001101'	122468
'0111001111110000001101'	86875
'1000000000000111111111'	86303
'0111011111110000001101'	66239
'0011001101100000001101'	21150
'0111001011100000001101'	20525
'0111011011100000001101'	20350
'0111001101100000001101'	18862
'0011001111100000001101'	18034
'0011011101100000001101'	16287
'0011011111100000001101'	14257
'0111011101100000001101'	11771
'0111011111111000001101'	11654
'0011000101000000001101'	11584
'0011001101000000001101'	7842
'0111001011110000001101'	6925
'0111011111101000001101'	6916
'0001000000000111111111'	6298
'0111001101110000001101'	5400
'0111011011110000001101'	5190
'0011001111110000001101'	4595
'0111001111111000001101'	4340
'0110001111100000001101'	3603
'0111011101110000001101'	3368
'0011000101100000001101'	3217
'0000001000000111111111'	3180
'0110011111100000001101'	3106
'0111001111101000001101'	2714
'0111001001100000001101'	2664
'0011001001100000001101'	2564
'0011000100000000001101'	2397
'0011001011100000001101'	2331
'0111011001100000001101'	2320
'0011011111110000001101'	2276
'0011011101110000001101'	2257
'0111001011000000001101'	2239
'0111001110100000001101'	2202
'0001001001000011011101'	2078
'0011001101110000001101'	1967
'0111001011100010001101'	1897
'0010000000000111111111'	1784
'0111001111000000001101'	1771
'0011000001000000001101'	1757
'0011011001100000001101'	1686
'0011011101000000001101'	1483
'0011000111000000001101'	1447
'0011011011100000001101'	1281
'0111001100100000001101'	1255
'0011001001000000001101'	1227
'0001000001000011011101'	1225
'0010000101000000001101'	1140
'0011001111000000001101'	1100
'0111011110100000001101'	1093
'0111011011100010001101'	1061
'1010000000000111111111'	1060
'0110001111110000001101'	1032
'0010001101000000001101'	1025
'0010000100000100001101'	983
'0011010101100000001101'	979
'0011001100000000001101'	945
'0011010101000000001101'	938
'0111001100000000001101'	935
'0111000101100000001101'	843
'0111001101000000001101'	780
'0110011111110000001101'	776
'0111000111100000001101'	769
'0111000111000000001101'	736
'0011000111100000001101'	735
'0010001101100000001101'	709
'0010000000000100001101'	670
'0001001001000000001101'	667
'0111010111100000001101'	666
'0111011011111000001101'	664
'0111111111100000001101'	654
'0001001001100000001101'	650
'0110001101100000001101'	641
'0010001111100000001101'	640
