State	Count
'0111001111100010001101'	596
'0010001100000100001101'	595
'0111011011000000001101'	591
'0010001100000000001101'	573
'0111001110110000001101'	531
'0011011101101000001101'	513
'0011001100100000001101'	495
'0011011101111000001101'	495
'0010000000000110001111'	482
'0011001001110000001101'	473
'0111011011101000001101'	470
'0111000101000000001101'	459
'0011000001000010001101'	450
'0111001001000000001101'	445
'0011010111100000001101'	445
'0011001000000000001101'	420
'0011000001100000001101'	417
'0010001001000000001101'	409
'0011011111000000001101'	406
'0111011111000000001101'	398
'0010011101100000001101'	397
'0111001000000010001101'	394
'0111011111100010001101'	391
'0111011101101000001101'	378
'1001000000000111111111'	363
'0001000001000000001101'	362
'0011000000000000001101'	358
'0110001100000000001101'	350
'0011001000000010001101'	326
'1000001000000111111111'	323
'0011001110000000001101'	322
'0001001011000011011101'	304
'0010000100000000001101'	301
'0111001110000000001101'	296
'0111001010100000001101'	287
'0111111111110000001101'	286
'0010001000000100001101'	284
'0111001011111000001101'	273
'0111001000100000001101'	266
'0001001000000011011101'	262
'0011011111101000001101'	260
'0111011101000000001101'	253
'0011001011110000001101'	245
'0011001001000010001101'	241
'0011000000000010001101'	226
'0111001010000000001101'	224
'0011011100100000001101'	222
'0111001111010000001101'	216
'0111011110110000001101'	209
'0111001001100010001101'	208
'0011000100000100001101'	204
'0001000001000010001101'	204
'0011011110100000001101'	203
'0011010001000000001101'	202
'0010000001000000001101'	200
'0111011101111000001101'	200
'0101001011000011011101'	200
'0111011111010000001101'	199
'0111001011101000001101'	199
'0011001000000010001111'	198
'0011001011100010001101'	198
'0011001110100000001101'	197
'0110001111000000001101'	197
'0011000000000111111111'	196
'0010000000000000001101'	195
'0111001110101000001101'	193
'0101001011100000001101'	192
'0111101111100000001101'	190
'0111001101111000001101'	190
'0111000100000000001101'	187
'0110001011100000001101'	185
'0001001001000010001101'	180
'0010000100000110001111'	179
'0111000011100000001101'	176
'0010000101100000001101'	166
'0111001010000010001101'	166
'0111001110010000001101'	165
'0010001000000000001101'	163
'0111001000000000001101'	161
'0111000111010000001101'	156
'0110011101000000001101'	154
'0011000000000010001111'	153
'0110011011100000001101'	152
'0010001110000000001101'	148
'0111001111nan00000001101'	146
'0010000101000100001101'	143
'0011001010000010001101'	142
'011100111111000000nan101'	139
'0110001101000000001101'	136
'0011011011000000001101'	134
'0011001101010000001101'	128
'0110001001000000001101'	128
'0101001010000011011101'	124
'0010011101000000001101'	124
'0011001001100010001101'	118
'0111001011000000011101'	116
'0111000000000000001101'	115
'0010001011100000001101'	115
'0101001000000011011101'	111
'0101011011100000001101'	111
'0111001011010000001101'	109
'0111001111nan10000001101'	109
'0101001011000000001101'	109
'0000001000000000001101'	108
'0011001011000010001101'	105
'0001000000000011111111'	103
'0111001011000010001101'	103
'0001001011000010001101'	103
'0011010111000000001101'	102
'0011011111nan00000001101'	101
'0010001000000111111111'	100
'0111101011100000001101'	100
'0111010101110000001101'	100
'0111001111001000001101'	100
'0111011101100010001101'	100
'0111001101010000001101'	100
'0110011111111000001101'	100
'0011011001000000001101'	100
'0111011001110000001101'	100
'0011011111110010001101'	100
'0111001101100010001101'	100
'0011011011111000001101'	100
'0111011001111000001101'	99
'0011000101110000001101'	99
'0110001001110000001101'	99
'0011000111110000001101'	99
'0111000001100010001101'	99
'0111010111000000001101'	99
'0011011011100010001101'	99
'0110001010000000001101'	98
'0111011010100000001101'	98
'0111010101000000001101'	98
'0111010111110000001101'	98
'0111011010110000001101'	98
'0010011101110000001101'	98
'0011000100100000001101'	97
'0111000001000000001101'	97
'0011000101010000001101'	96
'0001001011000001001101'	95
'0011011111111000001101'	95
'0001001000000011111101'	94
'0001000000000011111101'	94
'0111001101101000001101'	94
'0011011110001000001101'	94
'0110011111101000001101'	94
'0011001101101000001101'	93
'0011011001101000001101'	93
'0110001000000000001101'	93
'0011011111001000001101'	92
'011100nan111100000001101'	92
'0001001000000000001101'	92
'0011010101110000001101'	92
'0111001100010000001101'	91
'0001001000000111111111'	91
'0111001011000001001101'	91
'0110001000000100001101'	90
'0110001101110000001101'	89
'0000000000000011011111'	89
'0111011111nan00000001101'	89
'0111011001100010001101'	87
'0001001011100000001101'	86
'0111000011000000001101'	86
'0010001101110000001101'	86
'0101001001000011011101'	85
'0111001111000010001101'	84
'0111011011000010001101'	84
'0011000011000000001101'	84
'0111010011100000001101'	83
'0011000110000000001101'	83
'0011011010100000001101'	81
'0000000001000011011101'	81
'0011011001100010001101'	81
'0011001000000011111101'	81
'0011011011000010001101'	80
'0000001001000100001101'	80
'0111011111111000001nan01'	79
'0111011100100000001101'	78
'0011000101001000001101'	78
'0111001010000010001111'	78
'0110001110000000001101'	77
'0011001010000010001111'	76
'0111111011100000001101'	76
'0000000001000000001101'	76
'0110000100000100001101'	76
'0111001111100000001nan01'	76
'0011010110000000001101'	75
'0000001001100000001101'	75
'0000001011000011011101'	75
'01110111nan1100000001101'	75
'0011001010000000001101'	74
'0111011111nan10000001101'	72
'0010001111000000001101'	72
'0100001011100000001101'	72
'0110001010000010001111'	69
'0110000100000000001101'	67
'0001000000000100001101'	62
'0000000000000100001101'	59
'0000001000000011011101'	59
'0110011111000000001101'	58
'0000001001000011011101'	56
'0011011111100000001nan01'	56
'0011000001000011011101'	54
'0111011101100000001nan01'	53
'0110001101000100001101'	52
'011nan001111110000001101'	50
'0001001011000000001101'	49
'0011000001000000011101'	48
'011101111111000000nan101'	48
'0011001011000000001101'	48
'0011000111010000001101'	48
'0011111011000000001101'	47
'0010001110100000001101'	47
'0011001111010000001101'	47
'0001000001000011001101'	43
'0101001011000010001101'	43
'0110001011000000001101'	42
'0001000000000000001101'	42
'011100110110000000nan101'	41
'0010011011100000001101'	40
'0000001000000110001111'	40
'0111001001000011011101'	39
'0101001000010000001101'	38
'011101nan111100000001101'	37
'011100111110100000110nan'	37
'0011000000000100001101'	37
'0010001000000110001111'	36
'0000001000000011111101'	35
'001100nan111100000001101'	33
'0001000000000011011111'	31
'011101nan011000000001101'	30
'0000000001000011011111'	30
'011101111111000000110nan'	30
'0010000000000010001101'	29
'0110011101100000001101'	29
'0nan11001111110000001101'	28
'0010001010000010001111'	28
'0010011001000000001101'	28
'0011001000100000001101'	28
'0111000111111000001101'	28
'0111001001110000001101'	28
'0111001011110010001101'	28
'0011000101100010001101'	27
'0110001110100000001101'	26
'0010010011000000001101'	26
'0111001011000011111101'	26
'0111001001000010001101'	26
'0111001011000011011101'	26
'011100111111000000110nan'	24
'011nan011111100000001101'	24
'0010001000000010001111'	23
'0001011001000010001101'	23
'0111001000000011011101'	23
'0100001000000100001101'	23
'0111000001100000001101'	22
'0110001100000100001101'	22
'0001000001000001001101'	20
'0010001101000100001101'	20
'0111011111100000001nan01'	19
'011100nan101110000001101'	19
'0110001110000100001101'	19
'0110001110000010001101'	19
'0001001000000010001111'	18
'01110011nan1100000001101'	18
'0101001001000010001101'	17
'0110001101100100001101'	17
'0001001000000011011111'	17
'0110001111110000001nan01'	16
'0111011011000000011101'	16
'0110011011100010001101'	16
'0010001100000010001111'	16
'011100nan111110000001101'	16
'0111011111110000001nan01'	15
'0011001011000011011101'	15
'0000000000000110001101'	15
'011100111nan100000001101'	15
'011100nan101100000001101'	15
'0001001010000000001101'	15
'0110001010000010001101'	13
'011nan011011100000001101'	13
'001101nan101101000001101'	13
'0010001000000011011111'	13
'0001001000000011111111'	12
'0001001000000010001101'	12
'0001001010000010001101'	12
'0110000111000000001101'	12
'011101110111000000nan101'	12
'0111011011100000001nan01'	12
'0011011000000010001111'	11
'0111001011100000001nan01'	11
'0110001011000100001101'	11
'011100111nan110000001101'	10
'0011001100000010001101'	10
'0011011111000000001nan01'	10
'0011001100000010001111'	10
'0001000000000011011101'	10
'0010001100000110001111'	10
'0011001010100000001101'	9
'0001001001000011001101'	9
'0101001001100000001101'	9
'011100nan111111000001101'	9
'011100111110000000110nan'	9
'0011011001110000001101'	8
'0010001001000100001101'	8
'0111010001100000001101'	8
'0111001010000100001101'	8
'0111001010000011011101'	8
'001nan001111100000001101'	7
'0001000001100000001101'	7
'0nan11011111100000001101'	7
'0111000000000010001101'	7
'0001000000000110001111'	7
'0010001000000010001101'	6
'0000000001000010001101'	6
'0011011001000010001101'	6
'0111001011nan00000001101'	6
'0100001000000000001101'	5
'0011001100000100001101'	5
'0011001000000010011111'	5
'0111001001000010011101'	5
'0111001111nan00010001101'	5
'0110011111100000001nan01'	4
'011100110110000000110nan'	4
'0010001010000000001101'	4
'0nan11001111100000001101'	4
'011101111nan110000001101'	4
'011nan001110100000001101'	4
'01nan1001111110000001101'	4
'0011011101100000001nan01'	4
'0110001000000110001101'	4
'001nan001111110000001101'	4
'011nan000101000000001101'	4
'011nan001111100000001101'	4
'0000001000000100001101'	3
'0011000000000011011111'	3
'0000001001000001001101'	3
'0001001001000011111101'	3
'0011001001000011011101'	3
'0111001000000010011101'	3
'0000000001000010001111'	3
'0011001001000011001101'	3
'01110010nan1100000001101'	3
'0010001110000010001111'	3
'0111000001000010001101'	3
'0110001011000010001101'	2
'0100001000000011111101'	2
'0001000001000011011111'	2
'0011000000000011011101'	2
'0010001000000110001101'	2
'0000000000000011111101'	2
'0110001010000100001101'	2
'0110001000000000101101'	2
'001nan001101100000001101'	2
'0001001010000011011111'	2
'0111011111nan11000001101'	2
'0001001001000011011111'	2
'0001001001000001011101'	2
'0001010001000000001101'	2
'0110001110010000001101'	2
'0011011001000001001101'	2
'0000001010000101001101'	2
'01110011nan1110000001101'	2
'0101001010000011111101'	2
'011100nan011110000001101'	2
'0001011001000011011101'	2
'0000001000000111011111'	2
'0001001010000011011101'	2
'0010001001000010001111'	1
'0010001110000100001101'	1
'0nan1100111111000000nan101'	1
'00nan1001011100000001101'	1
'011101111110000000110nan'	1
'0111011001000000001101'	1
'011101111111100000110nan'	1
'0111010101100000001101'	1
'011nan011111110000001101'	1
'0111010111nan00000001101'	1
'011101101111100000nan101'	1
'001101010100000000110nan'	1
'0001000001000010011101'	1
'0001000000000111111101'	1
'0001001011000011011111'	1
'0110001011000011011101'	1
'0000001001000010011101'	1
'01nan1001111100000001101'	1
'0011011101nan00000001101'	1
'0000001001000000001101'	1
'001nan011111100000001101'	1
'0000001000000011111111'	1
'01110111nan1110000001101'	1
'0111001000000010001111'	1
'0111011011110000001nan01'	1
'0111001100001000001101'	1
'0001001000000010101101'	1
'0110001100100000001101'	1
'0000000000000101111101'	1
'0000000000000101011101'	1
'0000000000000110001111'	1
'0010000100000010001111'	1
