ParamNum,State,Frequency,MultiStableState,Stability Type,RepNum,Motif
8933.0,'01',0.32,'01 10',2,1,TS
8933.0,'10',0.68,'01 10',2,1,TS
8934.0,'01',1.0,'01',1,1,TS
8935.0,'01',1.0,'01',1,1,TS
8936.0,'00',1.0,'00',1,1,TS
8937.0,'01',1.0,'01',1,1,TS
8938.0,'01',0.236,'01 10',2,1,TS
8938.0,'10',0.764,'01 10',2,1,TS
8939.0,'01',1.0,'01',1,1,TS
8940.0,'01',0.439,'01 10',2,1,TS
8940.0,'10',0.561,'01 10',2,1,TS
8941.0,'10',1.0,'10',1,1,TS
8942.0,'01',1.0,'01',1,1,TS
8943.0,'00',1.0,'00',1,1,TS
8944.0,'01',0.95,'01 10',2,1,TS
8944.0,'10',0.05,'01 10',2,1,TS
8945.0,'00',0.404,'00 10',2,1,TS
8945.0,'10',0.596,'00 10',2,1,TS
8946.0,'01',0.262,'01 10',2,1,TS
8946.0,'10',0.738,'01 10',2,1,TS
8947.0,'01',1.0,'01',1,1,TS
8948.0,'10',1.0,'10',1,1,TS
8949.0,'01',1.0,'01',1,1,TS
8950.0,'01',0.702,'01 10',2,1,TS
8950.0,'10',0.298,'01 10',2,1,TS
8951.0,'01',1.0,'01',1,1,TS
8952.0,'01',1.0,'01',1,1,TS
8953.0,'01',1.0,'01',1,1,TS
8954.0,'10',1.0,'10',1,1,TS
8955.0,'10',1.0,'10',1,1,TS
8956.0,'01',1.0,'01',1,1,TS
8957.0,'01',0.6583166332665331,'01 10',2,1,TS
8957.0,'10',0.34168336673346694,'01 10',2,1,TS
8958.0,'01',1.0,'01',1,1,TS
8959.0,'01',1.0,'01',1,1,TS
8960.0,'01',1.0,'01',1,1,TS
8961.0,'01',0.5765765765765766,'01 10',2,1,TS
8961.0,'10',0.42342342342342343,'01 10',2,1,TS
8962.0,'01',0.978,'01 10',2,1,TS
8962.0,'10',0.022,'01 10',2,1,TS
8963.0,'10',1.0,'10',1,1,TS
8964.0,'01',0.507,'01 10',2,1,TS
8964.0,'10',0.493,'01 10',2,1,TS
8965.0,'01',0.678,'01 10',2,1,TS
8965.0,'10',0.322,'01 10',2,1,TS
8966.0,'10',1.0,'10',1,1,TS
8967.0,'10',1.0,'10',1,1,TS
8968.0,'01',0.973,'01 10',2,1,TS
8968.0,'10',0.027,'01 10',2,1,TS
8969.0,'01',1.0,'01',1,1,TS
8970.0,'01',0.049,'01 10',2,1,TS
8970.0,'10',0.951,'01 10',2,1,TS
8971.0,'10',1.0,'10',1,1,TS
8972.0,'11',1.0,'11',1,1,TS
8973.0,'01',0.5285285285285285,'01 10',2,1,TS
8973.0,'10',0.47147147147147145,'01 10',2,1,TS
8974.0,'10',1.0,'10',1,1,TS
8975.0,'01',1.0,'01',1,1,TS
8976.0,'01',0.836,'01 10',2,1,TS
8976.0,'10',0.164,'01 10',2,1,TS
8977.0,'01',1.0,'01',1,1,TS
8978.0,'01',0.891,'01 10',2,1,TS
8978.0,'10',0.109,'01 10',2,1,TS
8979.0,'01',0.626,'01 10',2,1,TS
8979.0,'10',0.374,'01 10',2,1,TS
8980.0,'10',1.0,'10',1,1,TS
8981.0,'01',1.0,'01',1,1,TS
8982.0,'01',1.0,'01',1,1,TS
8983.0,'10',1.0,'10',1,1,TS
8984.0,'10',1.0,'10',1,1,TS
8985.0,'01',1.0,'01',1,1,TS
8986.0,'10',1.0,'10',1,1,TS
8987.0,'01',0.014,'01 10',2,1,TS
8987.0,'10',0.986,'01 10',2,1,TS
8988.0,'10',1.0,'10',1,1,TS
8989.0,'10',1.0,'10',1,1,TS
8990.0,'01',0.727,'01 10',2,1,TS
8990.0,'10',0.273,'01 10',2,1,TS
8991.0,'10',1.0,'10',1,1,TS
8992.0,'01',1.0,'01',1,1,TS
8993.0,'10',1.0,'10',1,1,TS
8994.0,'01',1.0,'01',1,1,TS
8995.0,'10',1.0,'10',1,1,TS
8996.0,'10',1.0,'10',1,1,TS
8997.0,'01',1.0,'01',1,1,TS
8998.0,'01',1.0,'01',1,1,TS
8999.0,'10',1.0,'10',1,1,TS
9000.0,'10',1.0,'10',1,1,TS
9001.0,'01',1.0,'01',1,1,TS
9002.0,'10',1.0,'10',1,1,TS
9003.0,'01',1.0,'01',1,1,TS
9004.0,'10',1.0,'10',1,1,TS
9005.0,'10',1.0,'10',1,1,TS
9006.0,'10',1.0,'10',1,1,TS
9007.0,'10',1.0,'10',1,1,TS
9008.0,'01',0.536,'01 10',2,1,TS
9008.0,'10',0.464,'01 10',2,1,TS
9009.0,'10',1.0,'10',1,1,TS
9010.0,'01',1.0,'01',1,1,TS
9011.0,'01',0.199,'01 10',2,1,TS
9011.0,'10',0.801,'01 10',2,1,TS
9012.0,'10',1.0,'10',1,1,TS
9013.0,'01',1.0,'01',1,1,TS
9014.0,'10',1.0,'10',1,1,TS
9015.0,'01',1.0,'01',1,1,TS
9016.0,'01',1.0,'01',1,1,TS
9017.0,'01',0.334,'01 10',2,1,TS
9017.0,'10',0.666,'01 10',2,1,TS
9018.0,'01',1.0,'01',1,1,TS
