ParamNum,State,Frequency,MultiStableState,Stability Type,RepNum,Motif
3709.0,'01',1.0,'01',1,1,TSSA
3710.0,'00',0.051,'00 10',2,1,TSSA
3710.0,'10',0.949,'00 10',2,1,TSSA
3711.0,'01',0.985,'01 10',2,1,TSSA
3711.0,'10',0.015,'01 10',2,1,TSSA
3712.0,'01',1.0,'01',1,1,TSSA
3713.0,'01',0.028,'01 10',2,1,TSSA
3713.0,'10',0.972,'01 10',2,1,TSSA
3714.0,'01',0.033,'01 10',2,1,TSSA
3714.0,'10',0.967,'01 10',2,1,TSSA
3715.0,'01',0.032,'01 10',2,1,TSSA
3715.0,'10',0.968,'01 10',2,1,TSSA
3716.0,'01',0.002,'01 10',2,1,TSSA
3716.0,'10',0.998,'01 10',2,1,TSSA
3717.0,'00',0.726,'00 01 10',3,1,TSSA
3717.0,'01',0.2,'00 01 10',3,1,TSSA
3717.0,'10',0.074,'00 01 10',3,1,TSSA
3718.0,'01',0.048,'01 10',2,1,TSSA
3718.0,'10',0.952,'01 10',2,1,TSSA
3719.0,'01',0.061,'01 10',2,1,TSSA
3719.0,'10',0.939,'01 10',2,1,TSSA
3720.0,'01',0.8,'01 10',2,1,TSSA
3720.0,'10',0.2,'01 10',2,1,TSSA
3721.0,'00',0.024,'00 01 10',3,1,TSSA
3721.0,'01',0.705,'00 01 10',3,1,TSSA
3721.0,'10',0.271,'00 01 10',3,1,TSSA
3722.0,'01',0.031,'01 10',2,1,TSSA
3722.0,'10',0.969,'01 10',2,1,TSSA
3723.0,'10',1.0,'10',1,1,TSSA
3724.0,'00',0.014,'00 01',2,1,TSSA
3724.0,'01',0.986,'00 01',2,1,TSSA
3725.0,'01',0.185,'01 10',2,1,TSSA
3725.0,'10',0.815,'01 10',2,1,TSSA
3726.0,'10',1.0,'10',1,1,TSSA
3727.0,'10',1.0,'10',1,1,TSSA
3728.0,'01',1.0,'01',1,1,TSSA
3729.0,'00',0.002,'00 01 10',3,1,TSSA
3729.0,'01',0.065,'00 01 10',3,1,TSSA
3729.0,'10',0.933,'00 01 10',3,1,TSSA
3730.0,'01',0.057,'01 10',2,1,TSSA
3730.0,'10',0.943,'01 10',2,1,TSSA
3731.0,'10',1.0,'10',1,1,TSSA
3732.0,'01',0.91,'01 10',2,1,TSSA
3732.0,'10',0.09,'01 10',2,1,TSSA
3733.0,'01',0.494,'01 10',2,1,TSSA
3733.0,'10',0.506,'01 10',2,1,TSSA
3734.0,'01',0.745,'01 10',2,1,TSSA
3734.0,'10',0.255,'01 10',2,1,TSSA
3735.0,'01',0.997,'01 10',2,1,TSSA
3735.0,'10',0.003,'01 10',2,1,TSSA
3736.0,'01',0.043,'01 10',2,1,TSSA
3736.0,'10',0.957,'01 10',2,1,TSSA
3737.0,'01',0.495,'01 10',2,1,TSSA
3737.0,'10',0.505,'01 10',2,1,TSSA
3738.0,'00',0.091,'00 01',2,1,TSSA
3738.0,'01',0.909,'00 01',2,1,TSSA
3739.0,'01',0.358,'01 10',2,1,TSSA
3739.0,'10',0.642,'01 10',2,1,TSSA
3740.0,'01',0.069,'01 10',2,1,TSSA
3740.0,'10',0.931,'01 10',2,1,TSSA
3741.0,'01',0.283,'01 10',2,1,TSSA
3741.0,'10',0.717,'01 10',2,1,TSSA
3742.0,'01',0.991,'01 10',2,1,TSSA
3742.0,'10',0.009,'01 10',2,1,TSSA
3743.0,'01',0.776,'01 10',2,1,TSSA
3743.0,'10',0.224,'01 10',2,1,TSSA
3744.0,'00',0.794,'00 10',2,1,TSSA
3744.0,'10',0.206,'00 10',2,1,TSSA
3745.0,'01',0.214,'01 10',2,1,TSSA
3745.0,'10',0.786,'01 10',2,1,TSSA
3746.0,'01',0.091,'01 10',2,1,TSSA
3746.0,'10',0.909,'01 10',2,1,TSSA
3747.0,'01',0.837,'01 10',2,1,TSSA
3747.0,'10',0.163,'01 10',2,1,TSSA
3748.0,'01',0.97,'01 10',2,1,TSSA
3748.0,'10',0.03,'01 10',2,1,TSSA
3749.0,'01',0.929,'01 10',2,1,TSSA
3749.0,'10',0.071,'01 10',2,1,TSSA
3750.0,'00',0.5628865979381443,'00 01',2,1,TSSA
3750.0,'01',0.43711340206185567,'00 01',2,1,TSSA
3751.0,'00',0.285,'00 01 10',3,1,TSSA
3751.0,'01',0.615,'00 01 10',3,1,TSSA
3751.0,'10',0.1,'00 01 10',3,1,TSSA
3752.0,'01',0.008,'01 10',2,1,TSSA
3752.0,'10',0.992,'01 10',2,1,TSSA
3753.0,'10',1.0,'10',1,1,TSSA
3754.0,'01',0.788,'01 10',2,1,TSSA
3754.0,'10',0.212,'01 10',2,1,TSSA
3755.0,'01',0.757,'01 10',2,1,TSSA
3755.0,'10',0.243,'01 10',2,1,TSSA
3756.0,'00',0.91,'00 01',2,1,TSSA
3756.0,'01',0.09,'00 01',2,1,TSSA
3757.0,'01',0.709,'01 10',2,1,TSSA
3757.0,'10',0.291,'01 10',2,1,TSSA
3758.0,'01',0.196,'01 10',2,1,TSSA
3758.0,'10',0.804,'01 10',2,1,TSSA
3759.0,'01',1.0,'01',1,1,TSSA
3760.0,'00',0.001,'00 01 10',3,1,TSSA
3760.0,'01',0.178,'00 01 10',3,1,TSSA
3760.0,'10',0.821,'00 01 10',3,1,TSSA
3761.0,'01',0.916,'01 10',2,1,TSSA
3761.0,'10',0.084,'01 10',2,1,TSSA
3762.0,'01',0.84,'01 10',2,1,TSSA
3762.0,'10',0.16,'01 10',2,1,TSSA
3763.0,'01',0.013,'01 10',2,1,TSSA
3763.0,'10',0.987,'01 10',2,1,TSSA
3764.0,'01',0.678,'01 10',2,1,TSSA
3764.0,'10',0.322,'01 10',2,1,TSSA
3765.0,'00',0.003,'00 01 10',3,1,TSSA
