State	Count
'0111001111100000001101'	155897
'0111011111100000001101'	141385
'0000000000000111111111'	103061
'0111001111110000001101'	96429
'0111011111110000001101'	84523
'1000000000000111111111'	67328
'0111001011100000001101'	23170
'0111011011100000001101'	21380
'0111001101100000001101'	20684
'0011001101100000001101'	19972
'0011001111100000001101'	19320
'0011011101100000001101'	18199
'0111011111111000001101'	16605
'0111011101100000001101'	15828
'0011011111100000001101'	15370
'0011000101000000001101'	13968
'0111011111101000001101'	10003
'0111011011110000001101'	6543
'0111001011110000001101'	6425
'0111001111111000001101'	5710
'0011001101000000001101'	5609
'0111001101110000001101'	4370
'0001000000000111111111'	4091
'0011011111110000001101'	4065
'0011001111110000001101'	3522
'0111001111101000001101'	3447
'0110011111100000001101'	3373
'0111011101110000001101'	3117
'0011000101100000001101'	3111
'0111011011100010001101'	2925
'0111001110100000001101'	2748
'0111001011000000001101'	2740
'0110001111100000001101'	2588
'0011011101110000001101'	2496
'0111001001100000001101'	2455
'0011001101110000001101'	2421
'0011001001100000001101'	2338
'0111001100000000001101'	2274
'0011001011100000001101'	2078
'0011000100000000001101'	1944
'0011000001000000001101'	1893
'0011001001000000001101'	1661
'0111001011100010001101'	1618
'0000001000000111111111'	1569
'0011011001100000001101'	1508
'0011011101000000001101'	1404
'0111011001100000001101'	1348
'0011011011100000001101'	1314
'0011011111101000001101'	1262
'0011000111000000001101'	1250
'0111000111100000001101'	1221
'0011001111000000001101'	1184
'0111001100100000001101'	1114
'0011010101000000001101'	1054
'0010000100000100001101'	1028
'0111001111000000001101'	1021
'0010001101100000001101'	1005
'0011010101100000001101'	982
'0010000000000111111111'	936
'0111011110100000001101'	924
'0011001100000000001101'	893
'0110001100000000001101'	799
'1010000000000111111111'	793
'0010000101000000001101'	774
'0011000111100000001101'	745
'0111011011111000001101'	744
'0001001001000011011101'	740
'0111011011000000001101'	737
'0010001100000000001101'	735
'0111001111100010001101'	729
'0010000100000000001101'	720
'0010001101000000001101'	718
'0111001101000000001101'	706
'0111011011101000001101'	697
'0110001101100000001101'	648
'0111001110110000001101'	629
'0111000101000000001101'	607
'0111001110000000001101'	606
'0111011111000000001101'	600
'0111000111000000001101'	587
'0010011101100000001101'	585
'0010000000000100001101'	563
'0110001110000000001101'	550
'0110001111110000001101'	545
'0001001001000000001101'	544
'0110011111110000001101'	500
'0011000000000000001101'	478
'0011011100100000001101'	471
'0111011110110000001101'	469
'0111001011111000001101'	456
'0010001111100000001101'	453
'0111001001100010001101'	452
'0011001100100000001101'	451
'0011011101101000001101'	442
'0011001000000000001101'	418
'0111011111100010001101'	417
'0111111111100000001101'	398
'0111001101100010001101'	394
'0011010111100000001101'	384
'0011001111101000001101'	379
'0010000000000110001111'	364
'0111111111110000001101'	358
'0111000101100000001101'	330
'0111001001000000001101'	327
'0011001001000010001101'	317
'0011001011000000001101'	313
'0011000001100000001101'	313
'0011001110000000001101'	307
'0111001000000000001101'	302
'0010000001000000001101'	300
'0011011001000000001101'	300
'0111011101111000001101'	299
'0011011011110000001101'	298
'0010001000000100001101'	296
'0010001100000100001101'	295
'0111001011110010001101'	293
'0011001011110000001101'	291
'0111011101101000001101'	291
'0011000001000010001101'	286
'0110001011100000001101'	278
'0111000100100000001101'	277
'0111001011000010001101'	252
'0001000001000011011101'	241
'0001001011100000001101'	235
'1001000000000111111111'	221
'0111001111010000001101'	220
'0010000101000100001101'	217
'0111001010100000001101'	215
'0011011101100010001101'	201
'0111011001000000001101'	201
'0111001101101000001101'	200
'0111101111100000001101'	200
'0011000111010000001101'	200
'0111001111110010001101'	200
'0111010101100000001101'	200
'0111101111110000001101'	199
'0110011011100010001101'	198
'0111011111111010001101'	198
'0011010001000000001101'	197
'0101001011100000001101'	196
'0111001001110000001101'	196
'0011000011000000001101'	194
'0001001011000011011101'	192
'0110001000000000001101'	192
'0110011101100000001101'	187
'1000001000000111111111'	186
'0111001101111000001101'	182
'0111000100000000001101'	174
'0011010011000000001101'	173
'0111001000000010001101'	162
'0011011111000000001101'	160
'0011011101111000001101'	158
'0111001010110000001101'	158
'0011010111000000001101'	150
'0010000000000000001101'	149
'0110001111000000001101'	148
'0011011011000000001101'	146
'0011000000000010001101'	144
'0111001111nan10000001101'	143
'0011001101010000001101'	140
'0011000100100000001101'	140
'0000000000000110001111'	137
'0011001010000010001101'	133
'0010011111100000001101'	131
'0111000011000000001101'	131
'0001000001000010001101'	131
'0001001000000011011101'	128
'0011001110100000001101'	122
'0111010111000000001101'	122
'0010001001000000001101'	120
'0001000001000000001101'	119
'0011000100000100001101'	115
'0010000000000010001111'	115
'0111011111nan00000001101'	113
'0111001001000010001101'	113
'0000000000000011111111'	111
'0111011001110000001101'	110
'0010001110000000001101'	108
'0111011101000000001101'	107
'0000000000000100001101'	102
'0111001000100000001101'	102
'0101001011110000001101'	102
'0010000100000110001111'	101
'0011011110100000001101'	100
'0010011111110000001101'	100
'0110011001100000001101'	100
'0011001110111000001101'	100
'0011011111110010001101'	100
'0001001001000010001111'	100
'0101001011000000011101'	100
'0011001101100010001101'	100
'0110001011100010001101'	100
'0111001011101000001101'	100
'0111111011110000001101'	100
'0011001111100010001101'	100
'0111111101100000001101'	100
'0010000000000011011111'	100
'0111011101100010001101'	100
'0111010111100000001101'	100
