State	Count
'0011011111100010001101'	100
'0011011111111000001101'	100
'0001011001100000001101'	100
'01110111nan1110000001101'	100
'0111111111101000001101'	100
'0111011110111000001101'	100
'0010001111110000001101'	100
'0011001111111000001101'	100
'0101011001100000001101'	99
'0101001011100010001101'	99
'0011010001100000001101'	99
'0011001101101000001101'	99
'0011011101010000001101'	99
'0111011100110000001101'	99
'0010010101100000001101'	99
'0111101001100000001101'	98
'0111001010000010001101'	98
'0110011111100100001101'	98
'0011000000000110001111'	98
'0110001101110000001101'	98
'0010001000000111111111'	97
'0011011001101000001101'	97
'0101001011000000001101'	97
'0110001010100000001101'	97
'0011001000100010001101'	97
'0111011011000001001101'	96
'0011000011100000001101'	96
'0110011111000000001101'	95
'0011000000000111111111'	95
'0011011011000010001101'	94
'0010001111000000001101'	94
'011100nan111100000001101'	94
'0110011011110000001101'	93
'0111001100010000001101'	93
'0110001000000010001101'	93
'0110011111101000001101'	92
'0011011011101000001101'	92
'0111001011000011011101'	90
'0110011011100000001101'	89
'0001001001000010001101'	89
'0010001101110000001101'	88
'0110001100000100001101'	87
'0001001001000001001101'	86
'0110001101000000001101'	86
'0010001111100100001101'	86
'0111011110101000001101'	83
'0101001001000000001101'	83
'011100nan111110000001101'	83
'0111011111010000001101'	82
'0011000011000010001101'	82
'0010011101010000001101'	81
'0011001111010000001101'	81
'0111011011nan00000001101'	81
'0101011011000000001101'	79
'0111001110010000001101'	79
'0011000000000010001111'	77
'0010001010000100001101'	77
'0010000001000110001101'	76
'0101001000000000001101'	76
'0110001011000000001101'	75
'011101111111100000nan101'	74
'0011011001100010001101'	72
'0001000000000011011101'	71
'0001001011000000001101'	71
'01110110nan1110000001101'	70
'0010001101010000001101'	70
'011101nan111110000001101'	70
'0111001111nan00000001101'	69
'011nan011111111000001101'	69
'0110001000010000001101'	67
'0001001010000011011101'	67
'0111001100110000001101'	67
'0110001111010000001101'	66
'0000000001000011011101'	66
'0011001011000010001101'	64
'0001000001000010001111'	64
'0011000100000010001101'	62
'0001011001000010001101'	62
'0011001000000010001111'	61
'0010000001100000001101'	61
'011101111nan110000001101'	60
'0010001000000000001101'	56
'0001001001000000011101'	55
'0111001010000000001101'	53
'0011001011100010001101'	52
'0111011001101000001101'	51
'0010001100000110001111'	50
'0010011101000000001101'	50
'011nan011111101000001101'	48
'0000001000000100001101'	48
'0010001011000000001101'	47
'0001011001000000001101'	47
'0110011011000010001101'	46
'0011011100010000001101'	46
'0111001001101000001101'	45
'0011000000000011011111'	45
'0010001110100000001101'	45
'0110001010000000001101'	45
'0110000100000000001101'	44
'0011000101000010001101'	43
'011100111110000000110nan'	39
'0001000001000011011111'	39
'0010011101101000001101'	39
'0010001000000110001111'	37
'0011001001000000011101'	37
'0011000100001000001101'	37
'0110001100100100001101'	36
'0111001000100010001101'	34
'0010001001000001001101'	33
'01110111nan1100000001101'	33
'0010001011100000001101'	32
'0101001011000011011101'	30
'0011001000000010001101'	29
'0000000001000001001101'	29
'0110000100000100001101'	29
'0001001000000010001101'	28
'011101nan111100000001101'	27
'0011000100000000001111'	27
'0011001001000011011101'	26
'0111011100100000001101'	26
'0011011000100010001101'	26
'0101000001000011011101'	26
'0nan11011111110000001101'	25
'0111001000100000001111'	25
'0111000000000000001101'	24
'0001000001000010011101'	24
'011100110110000000110nan'	23
'0111001011001000001101'	23
'0000001001000001001101'	22
'0111011001100010001101'	22
'0nan11001111110000001101'	22
'0110001000000100001101'	20
'0101011011100000001101'	20
'0011000010000010001111'	19
'0101011011000000011101'	19
'0011000000100000001101'	19
'011100nan011100000001101'	18
'0010010101000000001101'	18
'0111001101nan00000001101'	18
'0001010001000000001101'	16
'0010001001000000011101'	16
'0001000000000011011111'	16
'011100111nan110000001101'	16
'0001001001000011111101'	15
'0nan11001111100000001101'	15
'0111011111110000001nan01'	14
'0001001001100010001101'	14
'011100111111000000110nan'	14
'0111001010010000001101'	14
'0011001010000010001111'	13
'001101nan111110000001101'	13
'0110001110100000001101'	13
'0111001010000000101101'	13
'0010001001000100001101'	13
'0110001010000110001101'	12
'0011000000000100001101'	12
'011101101nan110000001101'	12
'0001001000000011111101'	12
'0011001001100010001101'	11
'0111011111100000001nan01'	11
'0111000000000010001101'	11
'0001000000000011111101'	10
'0111011010100000001101'	10
'0001000000000010001101'	10
'0010000101100000001101'	10
'011nan001111110000001101'	10
'0001001000000011011111'	10
'0010001000000010001111'	9
'0110001011110000001101'	9
'01110011nan1110000001101'	9
'0111101101100000001101'	9
'011100111111000000nan101'	9
'0111011011000010001101'	8
'011nan001111100000001101'	8
'0111001001010000001101'	8
'0000001011000000001101'	8
'0111011001000010001101'	8
'0010001110000100001101'	8
'0001001001000010011101'	8
'0010000100000010001111'	8
'0101001011000010001101'	8
'01110110nan1100010001101'	8
'011nan011111110000001101'	7
'0010001111000100001101'	7
'011001111110000000110nan'	7
'0111011011010000001101'	7
'01110011nan1100000001101'	7
'001100110110000000nan101'	7
'0111011111110010001101'	7
'011nan011111100000001101'	6
'0010001100010000001101'	6
'0000001000000010001101'	6
'0111011111nan10000001101'	6
'0110001000000010001111'	5
'0111001011000001001101'	5
'0110001010000010011111'	5
'011101111110000000nan101'	5
'001nan000101100000001101'	5
'0010001101000100001101'	5
'0000000000000111011111'	4
'0011000001000001001101'	4
'0110001010000010001101'	4
'0111011001000001001101'	4
'0101001010000000001101'	4
'0110001110000100001101'	4
'0101001001000011011101'	4
'0011000001000011011101'	4
'0110001100100000001101'	4
'001100111111000000110nan'	3
'011101111nan100000001101'	3
'0001001000000111111111'	3
'0101001001000010001101'	3
'0110000000000000001101'	3
'0010000000000111011111'	3
'0111001010100010001101'	3
'001100111110000000110nan'	2
'0001011001000011011101'	2
'0010001001000011011101'	2
'0001011011000010001101'	2
'0001011010000011011101'	2
'0110001100010000001101'	2
'0001011000000010001101'	2
'0000000000000111001111'	2
'0010001000000010001101'	2
'0100001000000000001101'	2
'011100111nan100000001101'	1
'0011001000000011111101'	1
'0001001001100000001101'	1
'0nan11011111100000001101'	1
'0111001000000000101101'	1
'0001001001000011011111'	1
'0110001110010000001101'	1
'0011001100000000001111'	1
'0000001000000000001101'	1
'0010000000000000011101'	1
'011nan001011100000001101'	1
'0101011011000011011101'	1
'0000000000000011011111'	1
'011100101111000000nan101'	1
'0011011100000010001101'	1
'0010000000000111001101'	1
'0111000001000010001101'	1
'001100001100000000110nan'	1
'0011010001000010001101'	1
'011101111nan101000001101'	1
'0011001110110000001101'	1
'0101001000000010001101'	1
'011101111110000000110nan'	1
'0011000101000100001101'	1
'0010000001000100001101'	1
'0111001101010000001101'	1
'0111001000000100001101'	1
'01110010nan1110000001101'	1
'0011001010100010001101'	1
'010100101110001000110nan'	1
'001nan001101010000001101'	1
'011101110111000000nan101'	1
