Parameter	Minimum	Maximum	Sampling
Prod_A	1.0	100.0	Sobol
Prod_B	1.0	100.0	Sobol
Deg_A	0.1	1.0	Sobol
Deg_B	0.1	1.0	Sobol
ActFld_A_A	1.0	100.0	Sobol
Thr_A_A	0.15312676666009928	15.159549899349829	Sobol
Hill_A_A	1.0	6.0	Sobol
InhFld_B_A	0.01	1.0	Sobol
Thr_B_A	0.15689473814011962	15.532579075871842	Sobol
Hill_B_A	1.0	6.0	Sobol
InhFld_A_B	0.01	1.0	Sobol
Thr_A_B	0.15312676666009928	15.159549899349829	Sobol
Hill_A_B	1.0	6.0	Sobol
ActFld_B_B	1.0	100.0	Sobol
Thr_B_B	0.15689473814011962	15.532579075871842	Sobol
Hill_B_B	1.0	6.0	Sobol
