State	Count
'0011001000000100001101'	87
'0011001011000010001101'	87
'0011000011110000001101'	87
'0001001001000010001101'	85
'0011000000000111111111'	85
'0110001110110000001101'	85
'011101111111000000nan101'	85
'011nan011111110000001101'	83
'0110011101110000001101'	81
'0111011011110010001101'	81
'0011011011000000001101'	80
'0000000001000011011111'	79
'0001011001000000001101'	78
'0101001011100000001101'	78
'0011001010000010001101'	76
'0111111101111000001101'	75
'0010000111000100001101'	74
'0111000001000000001101'	71
'0111001100000010001101'	71
'0111001111110000001nan01'	71
'0001000000000010001111'	70
'0010000001000011011101'	70
'0111001100010000001101'	69
'011nan001011100000001101'	66
'011100111111100000110nan'	66
'011100111110000000nan101'	65
'011100nan111100000001101'	64
'0010000000000011111111'	64
'0011001000000010001111'	64
'0011010111101000001101'	63
'0010010101000000001101'	62
'0111001101010000001101'	61
'011101nan111100000001101'	60
'0111011111nan11000001101'	60
'011100111111000000110nan'	59
'0000000000000011111101'	58
'0011010001000000001101'	57
'0011010011100000001101'	55
'011nan011111100000001101'	55
'0011000101001000001101'	52
'0000001011000010001101'	52
'011100110110000000110nan'	51
'0111010101000000001101'	51
'0101001001000000001101'	51
'0111001010000010001101'	50
'0001001000000000001101'	49
'011101nan111110000001101'	46
'0111001111000010001101'	45
'0010000110000100001101'	44
'0010001110100000001101'	44
'0110001111111000001101'	44
'0110011001100000001101'	43
'001101111110100000110nan'	43
'0010001000000111111111'	42
'0110001111101000001101'	42
'0011000000000010001111'	41
'001100110110000000nan101'	40
'0011001101100000001nan01'	40
'0011000011100000001101'	39
'0011001000000010001101'	38
'0111001000000010001101'	38
'0010001000000010001111'	38
'0001001011000000001101'	38
'0111011100110000001101'	37
'0011011011000010001101'	36
'0111010101100000001101'	36
'0000000001000011011101'	35
'0011010101101000001101'	34
'0110001110000000001101'	33
'0001000000000011011111'	33
'0111001101100010001101'	32
'0010001100000000001111'	30
'0101001011000011011101'	30
'0010000101000100001101'	29
'0000001000000011011101'	29
'0010001000000000001101'	28
'0000001001000111111101'	28
'0011011001000000011101'	28
'0001001000000010001101'	25
'0111011011100000001nan01'	25
'0111001011000001001101'	24
'0010001000000110001111'	24
'0111001011000011011101'	24
'0011001100110000001101'	24
'0111001110010000001101'	24
'0010000000000010001111'	24
'011nan001111110000001101'	23
'0100001000000011011111'	23
'0010000011000100001101'	23
'0000000000000111111101'	23
'0000000001000111011111'	22
'0110000000000000001101'	21
'0011000100000100001101'	21
'0111011111110000001nan01'	21
'001nan001111100000001101'	20
'0111001111nan10000001101'	20
'0110001110000100001101'	19
'0011001001000001001101'	19
'0111011011000011011101'	17
'0011001000100000001101'	17
'0010001000100000001101'	17
'0000001001000000001101'	17
'0010000000000010001101'	17
'0111000001000010001101'	16
'0101001011000000001101'	16
'0011011001000010001101'	15
'0011000011000010001101'	15
'0111001010000010001111'	14
'0000000001000000001101'	14
'0001000001000011011111'	14
'011101111nan100000001101'	13
'0011011000100000001101'	13
'0010000000000101001101'	13
'0nan11011111110000001101'	13
'0110001000000100001101'	13
'0011001001000010001111'	12
'0111001111nan00000001101'	12
'0001000000000011011101'	11
'0010000001000100001101'	11
'1000000000000111101111'	11
'0010000111010000001101'	11
'0111000000000000001101'	9
'0010001110000100001101'	9
'0011001011000011011101'	9
'0111001000010000001101'	8
'0111000100110000001101'	8
'0101001010000011011101'	8
'0011010001000010001101'	8
'0111000100100000001101'	8
'0010000001000010001101'	8
'0110000100000100001101'	8
'0111001010000011011101'	7
'0101001001000011011101'	7
'0111011111100000001nan01'	7
'0111011001000000011101'	7
'0111011001000011011101'	7
'0000000001000111111111'	7
'0001000000000011111101'	6
'0001011001100010001101'	6
'0011000000100000001101'	6
'0001001000000011111101'	6
'011100111nan110000001101'	6
'0111001000000010001111'	6
'0100001001000000001101'	6
'0000001000000100001101'	6
'011101111111000000110nan'	6
'0110001110000000001111'	6
'0011001100000100001101'	6
'001101110110000000110nan'	5
'0001001000000010001111'	5
'0111011101000000001101'	5
'0010001010000100001101'	5
'1001000000000011111101'	5
'0011011011100010011101'	4
'0101011001000000001101'	4
'011100110111000000nan101'	4
'0000001001000011011101'	4
'0011001000000011001101'	4
'0010000000000110101101'	4
'0111001111100000001nan01'	4
'0111011010101000001101'	4
'0111001100001000001101'	4
'001101110110000000nan101'	4
'001100nan101100000001101'	3
'0111001010100010001101'	3
'0110001011000010001101'	3
'011100101110001000110nan'	3
'1000000000000111111101'	3
'001101nan101110000001101'	3
'0011000001000001001101'	3
'0000000001000010001101'	3
'0111000101010000001101'	3
'0001000001000010001111'	3
'0100001001000011011101'	3
'0000001000000011011111'	3
'011100111010000000nan101'	3
'0110001111000100001101'	2
'0011000000000110001111'	2
'0101001001000010011101'	2
'0010000000000110111101'	2
'0010001000000010001101'	2
'011nan011011101000001101'	2
'0010001000000011011111'	2
'0001001001000010011101'	2
'0011000101110000001101'	2
'011nan001111100000001101'	2
'0000000000000011011101'	2
'0001011001000010001101'	2
'0001010001000010001101'	2
'0001000001000011001101'	2
'0111011111111000001nan01'	2
'0nan11011111100000001101'	2
'0011000000000100001101'	2
'0nan11001111100000001101'	2
'0000001000000111111101'	2
'0101001000000000001101'	2
'0110001100100000001101'	2
'0110001110100100001101'	2
'0001001001000011011111'	1
'0000001000000011111101'	1
'0000000000000011011111'	1
'011100111110000000110nan'	1
'011101111nan101000001101'	1
'0111011011110000001nan01'	1
'011100nan011100000001101'	1
'0000000000000110111101'	1
'011100101111000000nan101'	1
'0011001001000011011101'	1
'0nan11011101100000001101'	1
'0101001011000010001101'	1
'0100001010000000001101'	1
'0001001000000011011111'	1
'0110001000000011011111'	1
'0000001000000110001111'	1
'1001000000000011111111'	1
'0100001000000000001101'	1
'0000000000000110001111'	1
'0101011011000011011101'	1
'0011001010000000001101'	1
'0001000000000000001101'	1
'001101nan101100000001101'	1
'0111001011nan00000001101'	1
'0000000000000111101101'	1
'0110000000000100001101'	1
'01110011nan1100000001101'	1
'00110111nan1100000001101'	1
